Location,Longitude,Latitude
China Ningxia ,105.9999999,37.0000001
China Qinghai ,95.95211573,35.40709525
China Shaanxi ,109,36
China Shandong ,118.9999999,36.0000001
China Shanghai ,121.4692071,31.2322758
China Shanxi ,112,37
China Sichuan ,-6.2107338,53.2780787
China Tianjin ,117.4163641,39.3032619
China Tibet ,90.8749807,29.8556443
China Xinjiang ,85.4633464,42.4804953
China Yunnan ,102,25
China Zhejiang ,119.9999999,29.0000001
Colombia  ,-73.783892,2.8894434
Comoros  ,44.2832964,-12.2045176
Congo (Brazzaville)  ,15.6419155,-0.7264327
Congo (Kinshasa)  ,23.8222636,-2.9814344
Costa Rica  ,-84.0739102,10.2735633
Cote d'Ivoire  ,-5.5679458,7.9897371
Croatia  ,17.0118954,45.5643442
Cuba  ,-80.8328748,23.0131338
Cyprus  ,33.1451285,34.9823018
Czechia  ,15.4749544,49.8167003
Denmark  ,10.3333283,55.670249
Denmark Faroe Islands ,11.9901872,54.95007595
Denmark Greenland ,-38.85682715,71.8311379
Diamond Princess  ,27.5554078,53.8953584
Djibouti  ,42.8453061,11.8145966
Dominica  ,-70.3028026,19.0974031
Dominican Republic  ,-70.3028026,19.0974031
Ecuador  ,-79.3666965,-1.3397668
Egypt  ,29.2675469,26.2540493
El Salvador  ,-88.9140683,13.8000382
Equatorial Guinea  ,10.5170357,1.613172
Eritrea  ,37.9999668,15.9500319
Estonia  ,25.3319078,58.7523778
Eswatini  ,31.3991317,-26.5624806
Ethiopia  ,38.6521203,10.2116702
Fiji  ,179.0122737,-18.1239696
Finland  ,25.9209164,63.2467777
France  ,1.8883335,46.603354
France French Guiana ,-52.999998,4.0039882
France French Polynesia ,-146.0490931,-16.03442485
France Guadeloupe ,-61.5650444,16.2490067
France Martinique ,-60.9620777,14.6113732
France Mayotte ,45.1520755,-12.823048
France New Caledonia ,164.5566058,-20.4542886
France Reunion ,55.5265771,-21.1309332
France Saint Barthelemy ,-62.79716659,17.9007731
France Saint Pierre and Miquelon ,-56.19515891,46.7832469
France St Martin ,6.7539988,48.5683066
Gabon  ,11.6899699,-0.8999695
Gambia  ,-15.4900464,13.470062
Georgia  ,-83.1137366,32.3293809
Germany  ,10.4234469,51.0834196
Ghana  ,-1.0800271,8.0300284
Greece  ,21.9877132,38.9953683
Grenada  ,-61.6904045,12.1360374
Guatemala  ,-89.8988087,15.6356088
Guinea  ,-10.7083587,10.7226226
Guinea-Bissau  ,-14.9000214,12.100035
Guyana  ,-58.6416891,4.8417097
Haiti  ,-72.3570972,19.1399952
Holy See  ,-77.06572733,38.9247244
Honduras  ,-86.0755145,15.2572432
Hungary  ,19.5060937,47.1817585
Iceland  ,-18.1059013,64.9841821
India  ,78.6677428,22.3511148
Indonesia  ,117.8902853,-2.4833826
Iran  ,54.5643516,32.6475314
Iraq  ,44.1749775,33.0955793
Ireland  ,-7.9794599,52.865196
Israel  ,34.8667654,31.5313113
Italy  ,12.674297,42.6384261
Jamaica  ,-77.15984546,18.1152958
Japan  ,139.2394179,36.5748441
Jordan  ,36.941628,31.1667049
Kazakhstan  ,65.2093197,47.2286086
Kenya  ,38.4313975,1.4419683
Kosovo  ,20.9021231,42.5869578
Kuwait  ,47.4979476,29.2733964
Kyrgyzstan  ,74.724091,41.5089324
Laos  ,103.378253,20.0171109
Latvia  ,24.7537645,56.8406494
Lebanon  ,35.843409,33.8750629
Liberia  ,-9.3658524,5.7499721
Libya  ,18.1236723,26.8234472
Liechtenstein  ,9.5531527,47.1416307
Lithuania  ,23.7499997,55.3500003
Luxembourg  ,6.1296751,49.8158683
MS Zaandam  ,4.8185293,52.4387696
Madagascar  ,46.4416422,-18.9249604
Malawi  ,33.9301963,-13.2687204
Malaysia  ,102.2656823,4.5693754
Maldives  ,73.3287853,4.7064352
Mali  ,-2.2900239,16.3700359
Malta  ,14.4476911,35.8885993
Mauritania  ,-9.2399263,20.2540382
Mauritius  ,57.5703566,-20.2759451
Mexico  ,-100.0000375,22.5000485
Moldova  ,28.5670941,47.2879608
Monaco  ,7.4276832,43.7323492
Mongolia  ,103.8499736,46.8250388
Montenegro  ,19.5180992,42.9868853
Morocco  ,-7.3362482,31.1728205
Mozambique  ,34.9144977,-19.302233
Namibia  ,17.3231107,-23.2335499
Nepal  ,84.0917139,28.1083929
Netherlands  ,5.7480821,52.5001698
Netherlands Aruba ,-69.9618475,12.5013629
Netherlands Bonaire Sint Eustatius and Saba ,-63.14323865,17.566
Netherlands Curacao ,-68.9640875,12.1845
Netherlands Sint Maarten ,4.9237307,50.8381331
New Zealand  ,172.8344077,-41.5000831
Nicaragua  ,-85.2936911,12.6090157
Niger  ,9.3238432,17.7356214
Nigeria  ,7.9999721,9.6000359
North Macedonia  ,21.7168387,41.6171214
Norway  ,9.0999715,60.5000209
Oman  ,57.0036901,21.0000287
Pakistan  ,71.247499,30.3308401
Panama  ,-81.1308434,8.559559
Papua New Guinea  ,144.2489081,-5.6816069
Paraguay  ,-58.1693445,-23.3165935
Peru  ,-75.0458515,-6.8699697
Philippines  ,122.7312101,12.7503486
Poland  ,19.134422,52.215933
Portugal  ,-7.8896263,40.0332629
Qatar  ,51.2295295,25.3336984
Romania  ,24.6859225,45.9852129
Russia  ,97.7453061,64.6863136
Rwanda  ,30.0644358,-1.9646631
Saint Kitts and Nevis  ,-62.6725973,17.250512
Saint Lucia  ,-60.975036,13.8250489
Saint Vincent and the Grenadines  ,-61.2765569,12.90447
San Marino  ,12.458306,43.9458623
Sao Tome and Principe  ,6.9648718,0.8875498
Saudi Arabia  ,42.3528328,25.6242618
Senegal  ,-14.4529612,14.4750607
Serbia  ,21.07657433,44.02432285
Seychelles  ,55.4540146,-4.6574977
Sierra Leone  ,-11.8400269,8.6400349
Singapore  ,103.8303918,1.340863
Slovakia  ,19.4528646,48.7411522
Slovenia  ,14.4808369,45.8133113
Somalia  ,49.083416,8.3676771
South Africa  ,24.991639,-28.8166236
South Korea  ,127.6961188,36.638392
South Sudan  ,29.6667897,7.8699431
Spain  ,-4.8380649,39.3262345
Sri Lanka  ,80.7137847,7.5554942
Sudan  ,29.4917691,14.5844444
Suriname  ,-56.0771187,4.1413025
Sweden  ,14.5208584,59.6749712
Switzerland  ,8.2319736,46.7985624
Syria  ,39.0494106,34.6401861
Taiwan*  ,120.8353631,23.59829785
Tajikistan  ,70.8156541,38.6281733
Tanzania  ,35.7878438,-6.5247123
Thailand  ,100.83273,14.8971921
Timor-Leste  ,125.8375756,-8.5151979
Togo  ,1.0199765,8.7800265
Trinidad and Tobago  ,-60.9821067,10.8677845
Tunisia  ,9.400138,33.8439408
Turkey  ,34.9249653,38.9597594
US  ,-100.4458825,39.7837304
US Alabama ,-86.8295337,33.2588817
US Alabama Autauga,-86.6319403,32.5165255
US Alabama Baldwin,-87.7324392,30.5677527
US Alabama Barbour,-85.4032078,31.8589311
US Alabama Bibb,-87.1227088,32.971079
US Alabama Blount,-86.5702002,33.9510169
US Alabama Bullock,-85.7091657,32.09929
US Alabama Butler,-88.2219652,32.0895908
US Alabama Calhoun,-85.8315666,33.7514505
US Alabama Chambers,-85.3866953,32.8901658
US Alabama Cherokee,-85.6004514,34.1142554
US Alabama Chilton,-86.7032845,32.8522565
US Alabama Choctaw,-88.2821326,31.9908095
US Alabama Clarke,-87.8192486,31.659134
US Alabama Clay,-86.58666945,33.715158
US Alabama Cleburne,-85.5017359,33.6506958
US Alabama Coffee,-85.9870669,31.3629619
US Alabama Colbert,-87.7921769,34.6473396
US Alabama Conecuh,-86.9437104,31.3966783
US Alabama Coosa,-86.2327497,32.9181762
US Alabama Covington,-86.4597236,31.196549
US Alabama Crenshaw,-86.3244009,31.6809362
US Alabama Cullman,-86.8779268,34.1335332
US Alabama Dale,-85.623763,31.3940969
US Alabama Dallas,-87.1046643,32.3117968
US Alabama DeKalb,-85.7662118,34.4524349
US Alabama Elmore,-86.125195,32.5801231
US Alabama Escambia,-87.1070947,31.1168422
US Alabama Etowah,-86.022147,34.0371404
US Alabama Fayette,-87.7419088,33.7303493
US Alabama Franklin,-87.8339064,34.440962
US Alabama Geneva,-85.803014,31.0862933
US Alabama Greene,-87.9915392,32.8620514
US Alabama Hale,-87.6561668,32.7412417
US Alabama Henry,-85.2447377,31.4838041
US Alabama Houston,-85.2654592,31.1355603
US Alabama Jackson,-85.9867941,34.7692447
US Alabama Jefferson,-86.9164513,33.5228184
US Alabama Lamar,-88.1003689,33.7490016
US Alabama Lauderdale,-87.6747398,34.9049555
US Alabama Lawrence,-87.3017331,34.4776367
US Alabama Lee,-85.3077038,32.5814796
US Alabama Limestone,-86.9901321,34.8342463
US Alabama Lowndes,-86.6402541,32.1088066
US Alabama Macon,-85.6660307,32.366606
US Alabama Madison,-86.5675095,34.7736807
US Alabama Marengo,-87.7569365,32.201002
US Alabama Marion,-87.8544031,34.1128132
US Alabama Marshall,-86.3301801,34.3396046
US Alabama Mobile,-88.0430541,30.6943566
US Alabama Monroe,-87.3781004,31.5593935
US Alabama Montgomery,-86.3006485,32.3669656
US Alabama Morgan,-86.8529584,34.4296848
US Alabama Perry,-87.2876639,32.6421387
US Alabama Pickens,-88.1244034,33.2948421
US Alabama Pike,-95.4517,30.25817
US Alabama Randolph,-85.4693961,33.2651763
US Alabama Russell,-85.1959487,32.2698458
US Alabama Shelby,-86.6639746,33.2503347
US Alabama St. Clair,-86.3364,33.7086407
US Alabama Sumter,-88.1837986,32.5234698
US Alabama Talladega,-86.1597137,33.3967079
US Alabama Tallapoosa,-85.8023774,32.8595687
US Alabama Tuscaloosa,-87.5675258,33.2095614
US Alabama Walker,-87.2767248,33.7804491
US Alabama Washington,-88.2019828,31.3991238
US Alabama Wilcox,-87.3005169,31.9523021
US Alabama Winston,-87.361354,34.1328863
US Alaska ,-149.680909,64.4459613
US Alaska Aleutians East,-162.8916892,55.0512443
US Alaska Aleutians West,178.8776,51.5672222
US Alaska Anchorage,-149.894852,61.2163129
US Alaska Bethel,-161.7558333,60.7922222
US Alaska Bristol Bay,-156.8753867,58.7370341
US Alaska Denali,-151.006239,63.069115
US Alaska Dillingham,-158.4575,59.0397222
US Alaska Fairbanks North Star,-146.7751619,64.8649039
US Alaska Haines,-135.3430573,59.0831232
US Alaska Hoonah-Angoon,-135.6992375,58.064782
US Alaska Juneau,-134.419734,58.3019496
US Alaska Kenai Peninsula,-151.788033,60.0968272
US Alaska Ketchikan Gateway,-131.011963,55.489748
US Alaska Kodiak Island,-153.3574124,57.5433765
US Alaska Kusilvak,-163.764702,62.2002165
US Alaska Lake and Peninsula,-156.154765,58.3277109
US Alaska Matanuska-Susitna,-149.4793288,62.3402481
US Alaska Nome,-165.3987994,64.4989922
US Alaska North Slope,-153.8220681,69.5335129
US Alaska Northwest Arctic,-159.9816347,67.2385127
US Alaska Petersburg,-132.95547,56.8127965
US Alaska Prince of Wales-Hyder,-132.9986035,55.5110315
US Alaska Sitka,-135.4596206,57.4086082
US Alaska Skagway,-135.4094368,59.6226362
US Alaska Southeast Fairbanks,-143.9873581,63.8489123
US Alaska Valdez-Cordova,-144.1037868,61.450876
US Alaska Wrangell,-132.0432552,56.2045673
US Alaska Yakutat,-139.3429439,59.6391781
US Alaska Yukon-Koyukuk,-153.5472287,65.2266005
US Arizona ,-111.7632755,34.395342
US Arizona Apache,-109.4786676,35.214632
US Arizona Cochise,-109.8181858,31.8514532
US Arizona Coconino,-111.6948197,35.9363252
US Arizona Gila,-110.8052705,33.7517565
US Arizona Graham,-109.8685752,32.8397096
US Arizona Greenlee,-109.2751297,33.2312681
US Arizona La Paz,-114.0184443,33.7923828
US Arizona Maricopa,-112.49123,33.34883
US Arizona Mohave,-113.8271174,35.7218038
US Arizona Navajo,-110.3549451,35.1819775
US Arizona Pima,-111.6546163,32.1112624
US Arizona Pinal,-111.4426212,32.8085851
US Arizona Santa Cruz,-110.8476281,31.5094579
US Arizona Yavapai,-112.5515965,34.5668857
US Arizona Yuma,-114.4760316,32.665135
US Arkansas ,-92.4479108,35.2048883
US Arkansas Arkansas,-91.3598511,34.2902454
US Arkansas Ashley,-91.7295595,33.1742582
US Arkansas Baxter,-92.3445222,36.2820691
US Arkansas Benton,-94.2670404,36.3456186
US Arkansas Boone,-93.0784759,36.2829183
US Arkansas Bradley,-92.16876,33.4494147
US Arkansas Calhoun,-92.5143633,33.5556787
US Arkansas Carroll,-93.5093048,36.3386737
US Arkansas Chicot,-91.3026986,33.2536665
US Arkansas Clark,-93.198963,34.0541966
US Arkansas Clay,-90.4087659,36.3609902
US Arkansas Cleburne,-92.0312818,35.5298937
US Arkansas Cleveland,-92.1724506,33.8847138
US Arkansas Columbia,-93.2344337,33.1938586
US Arkansas Conway,-92.6888936,35.2521996
US Arkansas Craighead,-90.6441144,35.8348413
US Arkansas Crawford,-94.2684622,35.5803044
US Arkansas Crittenden,-90.3192299,35.2505701
US Arkansas Cross,-90.7750181,35.3001216
US Arkansas Dallas,-92.6853662,33.9630776
US Arkansas Desha,-91.3110517,33.7740219
US Arkansas Drew,-91.7160969,33.5716907
US Arkansas Faulkner,-92.3219053,35.1470851
US Arkansas Franklin,-93.8864847,35.5110075
US Arkansas Fulton,-91.8110982,36.3783981
US Arkansas Garland,-93.1838539,34.5488944
US Arkansas Grant,-92.420578,34.2773864
US Arkansas Greene,-90.5778883,36.091803
US Arkansas Hempstead,-93.6929825,33.6949319
US Arkansas Hot Spring,-92.9005742,34.2956351
US Arkansas Howard,-93.9745776,34.0744088
US Arkansas Independence,-91.55326,35.718344
US Arkansas Izard,-91.8894787,36.0832532
US Arkansas Jackson,-91.196742,35.5770886
US Arkansas Jefferson,-91.9248307,34.2711667
US Arkansas Johnson,-93.4550108,35.5600697
US Arkansas Lafayette,-93.5972459,33.1821484
US Arkansas Lawrence,-91.1655476,36.0078212
US Arkansas Lee,-90.7759619,34.7836833
US Arkansas Lincoln,-91.7713274,33.9359663
US Arkansas Little River,-94.2065398,33.6968793
US Arkansas Logan,-93.7233321,35.2255171
US Arkansas Lonoke,-91.862792,34.7414404
US Arkansas Madison,-93.7589024,35.9728095
US Arkansas Marion,-92.6999559,36.2378521
US Arkansas Miller,-93.9214795,33.2766729
US Arkansas Mississippi,-90.0875933,35.7547987
US Arkansas Monroe,-91.2289578,34.6778982
US Arkansas Montgomery,-93.6508234,34.5218805
US Arkansas Nevada,-93.3055491,33.6413476
US Arkansas Newton,-93.2273047,35.918468
US Arkansas Ouachita,-92.9355875,33.5680929
US Arkansas Perry,-92.8757514,34.9616474
US Arkansas Phillips,-90.8331287,34.4427373
US Arkansas Pike,-95.452085,30.259088
US Arkansas Poinsett,-90.6717121,35.5730183
US Arkansas Polk,-94.2397116,34.4995799
US Arkansas Pope,-93.0498623,35.453867
US Arkansas Prairie,-91.5751148,34.8105247
US Arkansas Pulaski,-92.3003472,34.7550166
US Arkansas Randolph,-91.0387017,36.3412315
US Arkansas Saline,-92.6542869,34.6021249
US Arkansas Scott,-94.0431714,34.8469384
US Arkansas Searcy,-92.7098744,35.9018987
US Arkansas Sebastian,-94.2654285,35.1770785
US Arkansas Sevier,-94.243888,33.9867858
US Arkansas Sharp,-91.4930274,36.1344424
US Arkansas St. Francis,-90.7263194,35.0153956
US Arkansas Stone,-92.1747633,35.8317159
US Arkansas Union,-94.17598924,36.06867865
US Arkansas Van Buren,-92.4916144,35.5759086
US Arkansas Washington,-94.2280656,35.9672625
US Arkansas White,-91.7169687,35.2463042
US Arkansas Woodruff,-91.2229851,35.1714574
US Arkansas Yell,-93.4283105,34.9906072
US California ,-118.7559974,36.7014631
US California Alameda,-121.899142,37.6090291
US California Alpine,-119.8345013,38.5893934
US California Amador,-120.5911018,38.449089
US California Butte,-121.5858444,39.6519275
US California Calaveras,-120.4981492,38.2558181
US California Colusa,-122.2209563,39.1465578
US California Contra Costa,-121.9175345,37.9034806
US California Del Norte,-123.91328,41.7261767
US California El Dorado,-120.5276129,38.7574137
US California Fresno,-119.7848307,36.7394421
US California Glenn,-122.3778662,39.5912766
US California Humboldt,-123.8997734,40.5997415
US California Imperial,-115.3595666,33.0305487
US California Inyo,-117.4074712,36.5595325
US California Kern,-118.7538222,35.3145701
US California Kings,-119.7956342,36.0784807
US California Lake,-66.15919169,47.4463217
US California Lassen,-120.730998,40.7685579
US California Los Angeles,-118.2427666,34.0536909
US California Madera,-120.0594685,36.9622745
US California Marin,-122.6199638,38.0409144
US California Mariposa,-119.9036592,37.570148
US California Mendocino,-123.4126399,39.3176491
US California Merced,-120.7678602,37.1641544
US California Modoc,-120.7435998,41.5450487
US California Mono,-118.9398758,37.9533927
US California Monterey,-121.841677,36.622713
US California Napa,-122.2855293,38.2971367
US California Nevada,-120.8089843,39.3540335
US California Orange,-117.8704931,33.7500378
US California Placer,-120.7650606,39.1012064
US California Plumas,-120.8059521,39.9430988
US California Riverside,-117.3961623,33.9533546
US California Sacramento,-121.4943996,38.5815719
US California San Benito,-121.1177379,36.6248089
US California San Bernardino,-116.0833144,34.8253019
US California San Diego,-117.1627714,32.7174209
US California San Francisco,-122.4199061,37.7790262
US California San Joaquin,-121.2773719,37.9372901
US California San Luis Obispo,-120.3757163,35.3540209
US California San Mateo,-122.3330573,37.496904
US California Santa Barbara,-119.7026673,34.4221319
US California Santa Clara,-121.6846349,37.2333253
US California Santa Cruz,-121.9905908,37.050096
US California Shasta,-121.9979194,40.7965121
US California Sierra,-120.5305731,39.5849065
US California Siskiyou,-122.5443541,41.5007223
US California Solano,-121.9163555,38.2218938
US California Sonoma,-122.8473388,38.5110803
US California Stanislaus,-121.0501425,37.5500871
US California Sutter,-121.697088,38.9509675
US California Tehama,-122.2015529,40.1251334
US California Trinity,-123.171268,40.6053256
US California Tulare,-118.852583,36.2516475
US California Tuolumne,-119.9919351,38.056944
US California Ventura,-119.0779359,34.4458248
US California Yolo,-121.9059001,38.7184542
US California Yuba,-121.3556818,39.2839755
US Colorado ,-105.6077167,38.7251776
US Colorado Adams,-104.2701374,39.8714085
US Colorado Alamosa,-105.7890452,37.5780995
US Colorado Arapahoe,-104.3628567,39.6416781
US Colorado Archuleta,-107.0842479,37.1995993
US Colorado Baca,-102.5770885,37.3147687
US Colorado Bent,-103.0964287,37.9421152
US Colorado Boulder,-105.2705456,40.0149856
US Colorado Broomfield,-105.0691464,39.9203827
US Colorado Chaffee,-106.1825012,38.7413025
US Colorado Cheyenne,-102.6177692,38.8307233
US Colorado Clear Creek,-105.6435349,39.6754591
US Colorado Conejos,-106.1655431,37.1851939
US Colorado Costilla,-105.4182008,37.2367948
US Colorado Crowley,-103.8263042,38.3394806
US Colorado Custer,-105.3543375,38.1072962
US Colorado Delta,-107.8568294,38.8368777
US Colorado Denver,-104.9848623,39.7392364
US Colorado Dolores,-108.4596087,37.7524811
US Colorado Douglas,-104.9468945,39.3420437
US Colorado Eagle,-106.7172844,39.6161124
US Colorado El Paso,-104.5253456,38.8287435
US Colorado Elbert,-104.0868973,39.3138822
US Colorado Fremont,-105.4328622,38.4692006
US Colorado Garfield,-107.8776144,39.5462048
US Colorado Gilpin,-105.5025219,39.8586654
US Colorado Grand,174.7575148,-41.3105135
US Colorado Gunnison,-107.0603126,38.6476702
US Colorado Hinsdale,-107.3304179,37.813681
US Colorado Huerfano,-105.0218531,37.7013983
US Colorado Jackson,-106.3447246,40.6531945
US Colorado Jefferson,-105.2561919,39.5699803
US Colorado Kiowa,-102.7628476,38.4411214
US Colorado Kit Carson,-102.62075,39.3080613
US Colorado La Plata,-107.8539029,37.2889732
US Colorado Lake,-149.4294819,63.1623657
US Colorado Larimer,-105.4726907,40.6810174
US Colorado Las Animas,-104.0591427,37.3096626
US Colorado Lincoln,-118.4886691,34.0166147
US Colorado Logan,-103.1221379,40.7250975
US Colorado Mesa,-108.565996,39.0589084
US Colorado Mineral,-106.9311267,37.6584133
US Colorado Moffat,-108.252345,40.6083135
US Colorado Montezuma,-108.6260849,37.3476546
US Colorado Montrose,-108.2403855,38.4375391
US Colorado Morgan,-103.8225695,40.2407621
US Colorado Otero,-103.7415268,37.8872079
US Colorado Ouray,-107.7414887,38.146044
US Colorado Park,-104.8307368,39.9822579
US Colorado Phillips,-102.3701723,40.5888329
US Colorado Pitkin,-106.8695332,39.2037774
US Colorado Prowers,-102.4130793,37.9455797
US Colorado Pueblo,-104.609141,38.2544472
US Colorado Rio Blanco,-108.1807779,39.9847294
US Colorado Rio Grande,-106.3832155,37.5668223
US Colorado Routt,-106.9724072,40.4514373
US Colorado Saguache,-106.3563372,38.0945348
US Colorado San Juan,-107.6495508,37.7633081
US Colorado San Miguel,-108.4118482,37.96345975
US Colorado Sedgwick,-102.3777262,40.8698595
US Colorado Summit,-106.0636654,39.6070951
US Colorado Teller,-105.1797307,38.889575
US Colorado Washington,-103.1521676,39.9017011
US Colorado Weld,-104.4835287,40.5632344
US Colorado Yuma,-102.458253,40.0163487
US Connecticut ,-72.7342163,41.6500201
US Connecticut Fairfield,-73.2637258,41.1412078
US Connecticut Hartford,-72.6908547,41.764582
US Connecticut Litchfield,-73.1887243,41.747319
US Connecticut Middlesex,-72.5528113,41.4510811
US Connecticut New Haven,-72.9250518,41.3082138
US Connecticut New London,-72.0997804,41.3556187
US Connecticut Tolland,-72.3677153,41.8700166
US Connecticut Windham,-72.1575772,41.6999029
US Delaware ,-75.4013315,38.6920451
US Delaware Kent,-75.4841394,39.1156908
US Delaware New Castle,-75.5663132,39.6620572
US Delaware Sussex,-75.3691421,38.6908097
US District of Columbia ,-76.98788325,38.89366125
US District of Columbia District of Columbia,-76.98788325,38.89366125
US Florida ,-81.4639835,27.7567667
US Florida Alachua,-82.3640109,29.675568
US Florida Baker,-82.2847163,30.3143459
US Florida Bay,-80.7497882,25.0004073
US Florida Bradford,-82.1608653,29.9715087
US Florida Brevard,-80.728624,28.2446658
US Florida Broward,-80.4623642,26.1598074
US Florida Calhoun,-85.2223516,30.3853734
US Florida Charlotte,-81.9156799,26.9013269
US Florida Citrus,-82.5141209,28.8512851
US Florida Clay,-81.8470596,29.9766524
US Florida Collier,-81.3794941,26.087964
US Florida Columbia,-82.6327488,30.1935988
US Florida DeSoto,-81.8244232,27.190253
US Florida Dixie,-83.17351,29.6214008
US Florida Duval,-81.6632109,30.3540073
US Florida Escambia,-87.3451089,30.6625885
US Florida Flagler,-81.2917415,29.4844412
US Florida Franklin,-84.8239118,29.8323143
US Florida Gadsden,-84.6389937,30.5937346
US Florida Gilchrist,-82.7975172,29.7131619
US Florida Glades,-81.1895983,26.9328123
US Florida Gulf,-85.2175889,29.9665252
US Florida Hamilton,-82.9763531,30.5232289
US Florida Hardee,-81.8196804,27.4856349
US Florida Hendry,-81.1520667,26.597094
US Florida Hernando,-82.4605068,28.5710156
US Florida Highlands,-81.3615717,27.3513186
US Florida Hillsborough,-82.3488057,27.9184543
US Florida Holmes,-85.8138207,30.8918676
US Florida Indian River,-80.5894422,27.7041555
US Florida Jackson,-85.2063186,30.8013861
US Florida Jefferson,-83.9326576,30.3949531
US Florida Lafayette,-83.2221527,29.9978185
US Florida Lake,-70.08325567,43.90293045
US Florida Lee,-81.8823135,26.5999265
US Florida Leon,-84.2549068,30.4683062
US Florida Levy,-82.7824592,29.3008632
US Florida Liberty,-84.8955989,30.2506943
US Florida Madison,-83.4524524,30.4514352
US Florida Manatee,-82.3801566,27.5213933
US Florida Marion,-82.0626948,29.2182454
US Florida Martin,-80.3994412,27.0673711
US Florida Miami-Dade,-80.4989467,25.6364246
US Florida Monroe,-80.8337157,25.0405135
US Florida Nassau,-81.7707334,30.6624329
US Florida Okaloosa,-86.6037748,30.6765961
US Florida Okeechobee,-80.8873655,27.3923408
US Florida Orange,-81.3111658,28.495156
US Florida Osceola,-81.1437541,28.0443842
US Florida Palm Beach,-80.4494174,26.6279798
US Florida Pasco,-82.4522702,28.2996183
US Florida Pinellas,-82.7329309,27.8778904
US Florida Polk,-81.7268789,27.9448537
US Florida Putnam,-81.7230549,29.6266155
US Florida Santa Rosa,-87.0097524,30.6964502
US Florida Sarasota,-82.5306527,27.3364347
US Florida Seminole,-81.2353683,28.7225829
US Florida St. Johns,-81.4145468,29.9032284
US Florida St. Lucie,-80.457904,27.3900897
US Florida Sumter,-82.076402,28.6689748
US Florida Suwannee,-82.9873377,30.2101192
US Florida Taylor,-83.6377926,30.0926733
US Florida Union,-82.34767436,29.64622365
US Florida Volusia,-81.1310761,29.0533409
US Florida Wakulla,-84.3543512,30.1480038
US Florida Walton,-86.1912678,30.6204939
US Florida Washington,-85.6762025,30.6009343
US Georgia ,-83.1137366,32.3293809
US Georgia Appling,-82.3159572,33.5459683
