Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,BEL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,11.87392451,12.02186527,12.17110068,12.3209943,12.46714494,12.60984426,12.8072361,12.99510486,13.16770154,13.31704663,13.43965748,13.62928533,13.77081613,13.87770978,13.96736644,14.04734093,14.20987941,14.36882633,14.49138918,14.52471323,14.44505748,14.37425004,14.18940317,13.96328305,13.80059358,13.75962555,13.90976641,14.16193997,14.46899394,14.75893812,14.99149956,15.25087293,15.45501479,15.61991225,15.77249681,15.92897523,16.14472572,16.35244037,16.54796837,16.72103604,16.86648934,17.00842881,17.12131876,17.20652168,17.26268896,17.29105634,17.31498026,17.29509276,17.26249907,17.26515064,17.33402726,17.43376273,17.59301774,17.78716513,17.97717202,18.1423094,18.37185871,18.58407909,18.78874374,19.00656607,
Benin,BEN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,5.02138079,4.98441319,4.922857362,4.837586355,4.730961169,4.605038224,4.64681624,4.671395204,4.680092707,4.673512564,4.652719119,4.669599795,4.672346625,4.660602022,4.633320073,4.590273386,4.570633188,4.535219644,4.487025595,4.428294836,4.360850272,4.313232436,4.257081855,4.192552926,4.119857035,4.039732607,3.993024416,3.939992014,3.881462542,3.817891891,3.750208898,3.697000427,3.641226054,3.584887653,3.530070596,3.478384261,3.432853773,3.387141477,3.342088771,3.298570939,3.257305507,3.233215101,3.207708864,3.184073516,3.16625643,3.156049848,3.173984048,3.194306472,3.213286633,3.225739733,3.229890581,3.236776981,3.236231286,3.231996191,3.228298203,3.227718885,3.23552209,3.243951472,3.253605297,3.264884925,
Burkina Faso,BFA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.331627354,2.393116468,2.444113552,2.484833887,2.515684786,2.537319778,2.605356594,2.662427366,2.708279161,2.743220456,2.768143512,2.831892547,2.885339199,2.928564166,2.961370626,2.983681166,3.04645956,3.096468397,3.134354206,3.160939353,3.176901476,3.224722125,3.264482755,3.295465614,3.31675705,3.328313863,3.339064652,3.339933192,3.331041651,3.311956435,3.28290641,3.255881382,3.217719307,3.170298465,3.114666725,3.05209835,3.006022032,2.952113281,2.892588053,2.829623864,2.764874256,2.730483691,2.692298932,2.651379287,2.609026513,2.565830696,2.552465888,2.536398171,2.517296954,2.494396377,2.467911853,2.461205952,2.450919071,2.437961938,2.423281434,2.407873964,2.409730759,2.408630041,2.406980829,2.407287537,
Bangladesh,BGD,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.693102757,2.69920839,2.699964063,2.694762291,2.683503817,2.66797691,2.704215257,2.730719925,2.748131133,2.759324321,2.768401508,2.833243908,2.89379452,2.95130381,3.004957666,3.053851808,3.087519171,3.106354027,3.110906567,3.103948978,3.088679962,3.09785616,3.096326869,3.084127062,3.061740011,3.030919146,3.06110889,3.08665423,3.108086817,3.126333445,3.142894761,3.195740434,3.24515262,3.291845913,3.336124976,3.379013081,3.475877912,3.569686141,3.662559422,3.756845684,3.854105208,3.949009346,4.038927616,4.126059692,4.213674242,4.303867562,4.414050871,4.519264691,4.616179933,4.700921393,4.771824822,4.865900891,4.951116461,5.022874297,5.074235596,5.103355977,5.135613502,5.149475008,5.15839064,5.180351348,
Bulgaria,BGR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.575117553,7.703219238,7.853136276,8.02416057,8.212376988,8.417397489,8.642014203,8.871829144,9.108735903,9.356732547,9.618561205,9.881667679,10.13617212,10.38269655,10.62489137,10.86584351,11.13350418,11.40556634,11.64721309,11.80338049,11.8485501,11.79545101,11.63230414,11.43527492,11.31300468,11.32820173,11.58369565,11.93958277,12.35428692,12.76735611,13.14603315,13.5794472,13.98344032,14.36718214,14.74020824,15.10631904,15.4857169,15.83924088,16.15351814,16.4093012,16.59466286,16.85500012,17.04297314,17.17473622,17.27201499,17.35076874,17.48070898,17.59050676,17.70390215,17.85833516,18.07867412,18.41206725,18.81418647,19.24928753,19.66189074,20.01883123,20.42934287,20.75760119,21.02191443,21.25296727,
Bahrain,BHR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.991497719,2.832739705,2.634223536,2.394184349,2.109499308,1.785190283,1.874022317,1.985586266,2.124563301,2.294181312,2.499000494,2.480119104,2.473871397,2.467362761,2.445308065,2.405990778,2.322803011,2.229735301,2.144228421,2.086645527,2.063697595,2.206243986,2.344345122,2.470147861,2.568113451,2.634778794,2.53206607,2.428219195,2.329760661,2.245539788,2.182360046,2.248901444,2.310709902,2.357844874,2.385626921,2.400757854,2.442687146,2.475076942,2.483786867,2.47336778,2.453164332,2.389236537,2.34143966,2.305485496,2.273077831,2.240306625,2.178590135,2.12893093,2.093050588,2.074634876,2.079767258,2.142861055,2.20186408,2.253412095,2.294856202,2.324232005,2.342487544,2.372302346,2.426333878,2.518809729,
"Bahamas, The",BHS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.790603831,3.700454305,3.61215945,3.548009644,3.498642575,3.454258562,3.415037368,3.382256585,3.370984822,3.370102515,3.382985884,3.459678301,3.513881236,3.558344397,3.609550562,3.662862104,3.744252471,3.842699936,3.951796226,4.04740174,4.113661078,4.16716978,4.176052756,4.165111692,4.155304167,4.154268516,4.155352967,4.175590185,4.203660523,4.237823408,4.26932789,4.343161895,4.41042142,4.477457769,4.549640017,4.637666676,4.767270704,4.90746734,5.059240116,5.219307493,5.384313423,5.496368359,5.596112592,5.674977405,5.732312304,5.78096959,5.850172037,5.916019787,5.982000751,6.048271759,6.11367491,6.21339459,6.317659743,6.432460257,6.556350892,6.692035937,6.875082687,7.060549305,7.257602357,7.483272654,
Bosnia and Herzegovina,BIH,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.442697761,3.536273609,3.64639902,3.766004774,3.885200246,3.999894786,4.114273096,4.215134204,4.308039225,4.400683476,4.499047873,4.688503127,4.869113224,5.033002708,5.173144607,5.286234616,5.438199612,5.580660333,5.700417208,5.774594154,5.793550255,5.751845306,5.663060336,5.559407647,5.483157751,5.458648661,5.572692185,5.738339317,5.959891881,6.240971254,6.584878915,7.048009083,7.557829177,8.104292859,8.665894073,9.219231924,9.597269171,9.932549444,10.24926245,10.58940725,10.97538479,11.50522219,12.10125481,12.69728957,13.18792283,13.51631503,13.75969877,13.83541344,13.82385555,13.84329719,13.95962512,14.01405287,14.11764086,14.23288393,14.34462775,14.48056941,15.07843743,15.74975571,16.47031747,17.20115117,
Belarus,BLR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,8.347716108,8.296618023,8.242510893,8.199430165,8.183847497,8.205217617,8.338848337,8.500368776,8.678526491,8.854669301,9.016046577,9.236776862,9.424053651,9.600643441,9.791465622,10.00394584,10.21615721,10.44475493,10.64480992,10.75453805,10.75064209,10.65687728,10.46519849,10.23595492,10.05433493,9.968122989,9.988704665,10.07391033,10.21904015,10.41871275,10.67177322,11.01214796,11.39929019,11.7961916,12.14911601,12.42884224,12.73892211,12.94990486,13.10483153,13.26963938,13.47895667,13.79906906,14.15191768,14.47847893,14.68589737,14.72483834,14.71987204,14.5714236,14.34067274,14.11972371,13.96414911,13.95593565,14.00340404,14.09300318,14.20297538,14.32281401,14.41574703,14.5751252,14.84514817,15.20084135,
Belize,BLZ,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.148201251,4.179381857,4.207056601,4.234056148,4.245699483,4.249003477,4.272636652,4.280694282,4.283092512,4.282204577,4.29277635,4.35280825,4.401101062,4.453416245,4.505471909,4.56250938,4.578717989,4.59087956,4.587486058,4.556809738,4.490999272,4.461054715,4.408580858,4.335074636,4.259512183,4.182608643,4.14700887,4.119435521,4.110530196,4.11186631,4.130054598,4.192478339,4.271217143,4.363886612,4.454581515,4.526412934,4.394282612,4.253994043,4.121714355,4.006058882,3.907567273,3.829642088,3.750314432,3.665955275,3.576801782,3.476391825,3.568130876,3.668589583,3.781333212,3.916670639,4.078904932,4.128247289,4.185502959,4.249743286,4.326958451,4.416886237,4.510586319,4.615867727,4.736458777,4.86738926,
Bermuda,BMU,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.53297894,4.469874206,4.392385991,4.305458456,4.214053566,4.121323974,4.089031046,4.053483803,4.015644383,3.976309371,3.936414865,3.943501814,3.946809215,3.947535303,3.947392358,3.947419722,3.985699691,4.022855057,4.055930292,4.081067381,4.096750231,4.15697752,4.214129021,4.270994689,4.330354702,4.393490693,4.440136754,4.484627953,4.530848993,4.583554961,4.644972164,4.700138473,4.760575457,4.822087148,4.878774596,4.928015525,4.99862005,5.06440475,5.126543812,5.186200522,5.244703659,5.311206511,5.376003653,5.443955039,5.520595953,5.609248654,5.697036628,5.79339367,5.896875097,6.00514063,6.117166687,6.24274818,6.368150249,6.494597945,6.623526587,6.756138377,6.900623959,7.045878822,7.191947392,7.338631646,
Brazil,BRA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.150513141,3.19616078,3.240734206,3.280927797,3.312611128,3.33479223,3.359919987,3.378721528,3.394869083,3.412577412,3.434516731,3.476104327,3.516548866,3.556124474,3.594729894,3.632076886,3.682222844,3.727504904,3.767694196,3.801707168,3.829617591,3.863732593,3.891417873,3.915797022,3.941116771,3.970874539,4.022943863,4.076245794,4.13237707,4.193678757,4.261758821,4.366592714,4.4727789,4.57666573,4.673073499,4.7600728,4.860904028,4.951740049,5.040533851,5.137692708,5.249196838,5.387065786,5.539628151,5.699615519,5.85634318,6.005480029,6.165200089,6.317286075,6.470385136,6.635964066,6.820809393,7.03089721,7.252825982,7.4890724,7.741889194,8.0130436,8.301687306,8.605491994,8.922837832,9.251608036,
Barbados,BRB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,6.827863884,6.910555071,6.968486844,7.021358558,7.094626278,7.209882207,7.38453458,7.60207725,7.842657888,8.072114475,8.282683678,8.504585704,8.772954061,9.118398479,9.531809486,9.957587527,10.1279167,10.25962392,10.38196984,10.49727274,10.60365936,10.67043561,10.67096449,10.62530417,10.55589694,10.46776164,10.4376777,10.39729632,10.35342907,10.31401347,10.28451421,10.41599053,10.56427501,10.7191311,10.86891688,11.01276532,11.20318743,11.39577981,11.60372175,11.82876011,12.07520763,12.16110092,12.23809088,12.31113007,12.37957891,12.45028463,12.55851836,12.67097237,12.81175655,12.99839205,13.25093662,13.46492948,13.7186686,14.01215634,14.33752537,14.68576075,15.04184803,15.4109254,15.80269396,16.23099033,
Brunei Darussalam,BRN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,3.878730019,3.853346112,3.808629765,3.76202694,3.719380035,3.688980915,3.630889125,3.58654667,3.558160444,3.541262136,3.52739541,3.51733237,3.496641365,3.481200172,3.477739373,3.48830015,3.394557055,3.287086324,3.160508816,3.008464638,2.820315764,2.820703826,2.815616432,2.803711877,2.790420534,2.786824624,2.768984258,2.746218898,2.716403987,2.672414479,2.611307161,2.60283235,2.594088181,2.590519062,2.598685802,2.621889241,2.565146312,2.511556043,2.465658136,2.418074247,2.368195939,2.491221466,2.606536671,2.716159109,2.827787098,2.95305028,3.078622493,3.191231182,3.281579038,3.346392086,3.38971712,3.484231168,3.592329613,3.718155091,3.876086283,4.073925,4.300619343,4.567781696,4.873147568,5.208811752,
Bhutan,BTN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,2.35928487,2.369664105,2.377277727,2.378150946,2.368766298,2.349661803,2.365975205,2.372687972,2.370719037,2.363741833,2.352042944,2.368425339,2.380787052,2.389122337,2.392402625,2.394114743,2.416846202,2.435734517,2.450916452,2.464353041,2.474961598,2.511773189,2.54491367,2.574905303,2.601467188,2.625003769,2.67081965,2.711445403,2.749146289,2.787358358,2.829104528,2.951001811,3.078298872,3.211815335,3.348016627,3.48584041,3.574007554,3.661169203,3.746963466,3.831584703,3.916104504,4.014147505,4.109457841,4.204740387,4.303593372,4.406086269,4.555756682,4.705689482,4.854730328,4.999977887,5.14075066,5.273489899,5.403937678,5.528717879,5.642127515,5.743148558,5.842613356,5.924918484,6.003011713,6.092974373,
Botswana,BWA,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.289053098,4.247637438,4.175051262,4.091583673,4.022282536,3.976292603,3.964585184,3.960506222,3.953784842,3.930476035,3.884246832,3.834318098,3.774292002,3.704095595,3.622438129,3.528808735,3.473081733,3.427108824,3.396531034,3.383406063,3.385130108,3.320586237,3.244761781,3.169365444,3.109733101,3.070732305,3.069014342,3.101118186,3.156907073,3.220692271,3.285160512,3.301385335,3.301739425,3.292235778,3.277271019,3.255298556,3.248290391,3.241443108,3.240780696,3.246362087,3.254420586,3.239488427,3.210644816,3.178047945,3.15412905,3.145277748,3.174723352,3.215266236,3.258233937,3.293323054,3.316835296,3.42318633,3.520962406,3.616934006,3.720785706,3.836581607,3.957078179,4.086835852,4.223874346,4.365895341,
Central African Republic,CAF,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.99810877,4.992772265,4.983536416,4.966284025,4.935298418,4.88892521,4.87388368,4.843464446,4.80124344,4.750511704,4.693773659,4.695254271,4.686467693,4.667011109,4.636175241,4.593367842,4.574880296,4.546896225,4.508342582,4.458100961,4.39551396,4.350829034,4.292064558,4.224983671,4.156219663,4.090050661,4.076048566,4.056346436,4.029921606,3.996017094,3.953848138,3.930020716,3.897796593,3.857690481,3.80983823,3.7549152,3.735135947,3.700261405,3.653180614,3.596107267,3.530959418,3.505249034,3.467978984,3.419088159,3.358439345,3.286365678,3.258031859,3.218024731,3.165982039,3.101144059,3.024459009,3.008484291,2.97862058,2.93740209,2.887879619,2.831007952,2.83307395,2.831600277,2.825773707,2.81479015,
Canada,CAN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.698755085,7.7036074,7.706989669,7.713304844,7.727248968,7.752962862,7.776115313,7.817329773,7.875571699,7.945141238,8.022325476,8.115700722,8.197526716,8.280750997,8.381478634,8.50661979,8.67761047,8.866614565,9.063708687,9.252839396,9.427872989,9.595812287,9.747568503,9.897218419,10.06390125,10.25688673,10.4371928,10.6353928,10.84485729,11.05299869,11.25251844,11.41654664,11.56081603,11.69265748,11.82170904,11.95482728,12.07625806,12.20246247,12.33021784,12.45175194,12.56497606,12.67275825,12.76750408,12.86274716,12.97568411,13.11755213,13.26868096,13.43664535,13.63193757,13.86793132,14.1536509,14.45121753,14.80389886,15.20184648,15.62336628,16.05363481,16.4550098,16.84249156,17.23200668,17.64789689,
Central Europe and the Baltics,CEB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,7.214898676,7.401194221,7.608173571,7.829958724,8.058124217,8.288903519,8.539543269,8.767086161,8.984830641,9.20925243,9.44615038,9.690592138,9.933684827,10.17145091,10.39741237,10.60663033,10.83211786,11.04740973,11.21599313,11.28653279,11.23619122,11.08897828,10.83086906,10.53429483,10.29900599,10.18111204,10.2691245,10.43908918,10.65925514,10.87979833,11.07820734,11.34790688,11.60366407,11.84603637,12.07510518,12.28833279,12.57367133,12.83036312,13.06097804,13.27046791,13.46571035,13.72889972,13.9755982,14.19978944,14.38152704,14.51359,14.66310463,14.75937797,14.83495604,14.94098524,15.11005808,15.3891635,15.72878587,16.1172586,16.53178256,16.95830386,17.46396039,17.96473598,18.46047877,18.95282482,
